Year,Year,Illegal Act,Flight Hours,Miles Flown,Departures,"Accidents, Major","Accidents, Serious","Accidents, Injury","Accidents, Damage","Accidents, All","Accidents, Fatal","Fatalities, Total","Fatalities, Aboard","Accidents per Million Hours Flown, Major","Accidents per Million Hours Flown, Serious","Accidents per Million Hours Flown, Injury","Accidents per Million Hours Flown, Damage","Accidents per 100,000 Flight Hours, All","Accidents per 100,000 Flight Hours, Fatal","Accidents per 1,000,000 Miles Flown, All","Accidents per 1,000,000 Miles Flown, Fatal","Accidents per 100,000 Departures, All","Accidents per 100,000 Departures, Fatal"
1983,1983,No,7298799,3069318000,5444374,4,2,9,8,23,4,15,14,0.5479999999999999,0.27399999999999997,1.2329999999999999,1.0959999999999999,0.315,0.055,0.0075,0.0013,0.42200000000000004,0.073
1984,1984,No,8165124,3428063000,5898852,2,2,6,6,16,1,4,4,0.245,0.245,0.735,0.735,0.196,0.012,0.0047,0.0003,0.271,0.017
1985,1985,No,8709894,3631017000,6306759,8,2,5,6,21,7,526,525,0.9179999999999999,0.23,0.574,0.6890000000000001,0.24100000000000002,0.08,0.0058,0.0019,0.33299999999999996,0.111
1986,1986,Yes,9976104,4017626000,7202027,4,0,14,6,24,3,8,7,0.401,0.0,1.403,0.601,0.231,0.02,0.0057,0.0005,0.319,0.028
1987,1987,Yes,10645192,4360521000,7601373,5,1,12,16,34,5,232,230,0.47,0.094,1.127,1.5030000000000001,0.31,0.038,0.0076,0.0009,0.434,0.053
1988,1988,Yes,11140548,4503426000,7716061,4,2,13,11,30,3,285,274,0.359,0.18,1.167,0.987,0.26,0.018,0.0064,0.0004,0.376,0.026
1989,1989,No,11274543,4605083000,7645494,8,4,6,10,28,11,278,276,0.71,0.355,0.532,0.887,0.248,0.098,0.0061,0.0024,0.366,0.144
1990,1990,No,12150116,4947832000,8092306,4,3,10,7,24,6,39,12,0.32899999999999996,0.247,0.823,0.5760000000000001,0.198,0.049,0.0049,0.0012,0.297,0.074
1991,1991,No,11780610,4824824000,7814875,5,2,10,9,26,4,62,49,0.424,0.17,0.8490000000000001,0.764,0.221,0.034,0.0054,0.0008,0.33299999999999996,0.051
1992,1992,No,12359715,5039435000,7880707,3,3,10,2,18,4,33,31,0.243,0.243,0.809,0.162,0.146,0.032,0.0036,0.0008,0.228,0.051
