Year,Year,"Accidents, All","Accidents, Fatal","Fatalities, Total","Fatalities, Aboard",Flight Hours,"Accidents per 100,000 Flight Hour, All","Accidents per 100,000 Flight Hour, Fatal"
1975,1975,3995,633,1252,1231,28799000.0,13.87,2.19
1976,1976,4018,658,1216,1203,30476000.0,13.17,2.16
1977,1977,4079,661,1276,1265,31578000.0,12.91,2.09
1978,1978,4216,719,1556,1398,34887000.0,12.08,2.06
1979,1979,3818,631,1221,1203,38641000.0,9.88,1.63
1980,1980,3590,618,1239,1230,36402000.0,9.86,1.69
1981,1981,3500,654,1282,1261,36803000.0,9.51,1.78
1982,1982,3233,591,1187,1171,29640000.0,10.82,1.96
1983,1983,3075,555,1068,1061,28673000.0,10.67,1.92
1984,1984,3017,545,1042,1021,29099000.0,10.28,1.84
1985,1985,2739,498,956,945,28322000.0,9.63,1.74
1986,1986,2581,474,967,879,27073000.0,9.49,1.73
1987,1987,2494,446,837,822,26972000.0,9.18,1.63
1988,1988,2388,460,797,792,27446000.0,8.65,1.66
1989,1989,2242,432,769,766,27920000.0,7.97,1.52
1990,1990,2242,444,770,765,28510000.0,7.85,1.55
1991,1991,2197,439,800,786,27678000.0,7.91,1.57
1992,1992,2110,450,866,864,24780000.0,8.51,1.81
1993,1993,2064,401,744,740,22796000.0,9.03,1.74
1994,1994,2021,404,730,723,22235000.0,9.08,1.81
1995,1995,2056,412,734,727,24906000.0,8.21,1.63
1996,1996,1908,361,636,619,24881000.0,7.65,1.45
1997,1997,1840,350,631,625,25591000.0,7.17,1.36
1998,1998,1902,364,624,618,25518000.0,7.43,1.41
1999,1999,1905,340,621,615,29246000.0,6.5,1.16
2000,2000,1837,345,596,585,27838000.0,6.57,1.21
2001,2001,1727,325,562,558,25431000.0,6.78,1.27
2002,2002,1716,345,581,575,25545000.0,6.69,1.33
2003,2003,1741,352,633,630,25998000.0,6.68,1.34
2004,2004,1619,314,559,559,24888000.0,6.49,1.26
2005,2005,1671,321,563,558,23168000.0,7.2,1.38
2006,2006,1523,308,706,547,23963000.0,6.35,1.28
2007,2007,1654,288,496,491,23819000.0,6.94,1.2
2008,2008,1568,277,496,487,22805000.0,6.87,1.21
2009,2009,1480,275,479,470,20862000.0,7.08,1.32
2010,2010,1440,271,458,455,21688000.0,6.63,1.24
2011,2011,1470,269,452,441,,,
2012,2012,1470,272,437,437,20881000.0,7.04,1.3
2013,2013,1224,222,391,386,19492000.0,6.26,1.12
2014,2014,1221,253,419,410,18103000.0,6.74,1.4
