Year,Illegal Act,"Accidents, All","Accidents, Fatal","Fatalities, Total","Fatalities, Aboard",Flight Hours,Miles Flown,Departures,"Accidents per 100,000 Flight Hours, All","Accidents per 100,000 Flight Hours, Fatal","Accidents per 1,000,000 Miles Flown, All","Accidents per 1,000,000 Miles Flown, Fatal","Accidents per 100,000 Departures, All","Accidents per 100,000 Departures, Fatal"
1983,No,23,4,15,14,"7,298,799","3,069,318,000","5,444,374",0.315,0.055,0.0075,0.0013,0.422,0.073
1984,No,16,1,4,4,"8,165,124","3,428,063,000","5,898,852",0.196,0.012,0.0047,0.0003,0.271,0.017
1985,No,21,7,526,525,"8,709,894","3,631,017,000","6,306,759",0.241,0.08,0.0058,0.0019,0.333,0.111
1986,Yes,24,3,8,7,"9,976,104","4,017,626,000","7,202,027",0.231,0.02,0.0057,0.0005,0.319,0.028
1987,Yes,34,5,232,230,"10,645,192","4,360,521,000","7,601,373",0.31,0.038,0.0076,0.0009,0.434,0.053
1988,Yes,30,3,285,274,"11,140,548","4,503,426,000","7,716,061",0.26,0.018,0.0064,0.0004,0.376,0.026
1989,No,28,11,278,276,"11,274,543","4,605,083,000","7,645,494",0.248,0.098,0.0061,0.0024,0.366,0.144
1990,No,24,6,39,12,"12,150,116","4,947,832,000","8,092,306",0.198,0.049,0.0049,0.0012,0.297,0.074
1991,No,26,4,62,49,"11,780,610","4,824,824,000","7,814,875",0.221,0.034,0.0054,0.0008,0.333,0.051
1992,No,18,4,33,31,"12,359,715","5,039,435,000","7,880,707",0.146,0.032,0.0036,0.0008,0.228,0.051
1993,No,23,1,1,0,"12,706,206","5,249,469,000","8,073,173",0.181,0.008,0.0044,0.0002,0.285,0.012
1994,Yes,23,4,239,237,"13,124,315","5,478,118,000","8,238,306",0.168,0.03,0.004,0.0007,0.267,0.049
1995,No,36,3,168,162,"13,505,257","5,654,069,000","8,457,465",0.267,0.022,0.0064,0.0005,0.426,0.035
1996,No,37,5,380,350,"13,746,112","5,873,108,000","8,228,810",0.269,0.036,0.0063,0.0009,0.45,0.061
1997,No,49,4,8,6,"15,838,109","6,696,638,000","10,318,383",0.309,0.025,0.0073,0.0006,0.475,0.039
1998,No,50,1,1,0,"16,816,555","6,736,543,000","10,979,762",0.297,0.006,0.0074,0.0001,0.455,0.009
1999,No,51,2,12,11,"17,555,208","7,101,314,000","11,308,762",0.291,0.011,0.0072,0.0003,0.451,0.018
2000,No,56,3,92,92,"18,299,257","7,524,027,000","11,468,229",0.306,0.016,0.0074,0.0004,0.488,0.026
2001,Yes,46,6,531,525,"17,814,191","7,294,191,000","10,954,832",0.236,0.011,0.0058,0.0003,0.383,0.018
2002,No,41,0,0,0,"17,290,198","7,192,501,000","10,508,473",0.237, -   ,0.0057, -   ,0.39, -   
2003,No,54,2,22,21,"17,467,700","7,280,383,000","10,433,164",0.309,0.011,0.0074,0.0003,0.518,0.019
2004,No,30,2,14,14,"18,882,503","7,930,159,000","11,023,128",0.159,0.011,0.0038,0.0003,0.272,0.018
2005,No,40,3,22,20,"19,390,029","8,165,643,000","11,130,407",0.206,0.015,0.0049,0.0004,0.359,0.027
2006,No,33,2,50,49,"19,263,209","8,139,357,000","10,820,915",0.171,0.01,0.0041,0.0002,0.305,0.018
2007,No,28,1,1,1,"19,637,322","8,315,905,000","10,928,432",0.143,0.005,0.0034,0.0001,0.256,0.009
2008,No,28,2,3,1,"19,126,766","8,068,288,000","10,448,133",0.146,0.01,0.0035,0.0002,0.268,0.019
2009,No,30,2,52,51,"17,626,832","7,465,598,000","9,705,056",0.17,0.011,0.004,0.0003,0.309,0.021
2010,No,30,1,2,2,"17,750,986","7,598,128,000","9,633,846",0.169,0.006,0.0039,0.0001,0.311,0.01
2011,No,31,0,0,0,"17,962,965","7,713,557,000","9,583,947",0.173, -   ,0.004, -   ,0.323, -   
2012,No,27,0,0,0,"17,722,235","7,659,905,000","9,390,678",0.152, -   ,0.0035, -   ,0.288, -   
2013,No,23,2,9,9,"17,692,748","7,659,746,500","9,266,013",0.13,0.011,0.003,0.0003,0.248,0.022
2014,No,28,0,0,0,"17,599,000","7,656,814,700","9,008,000",0.159, -   ,0.0037, -   ,0.311, -   
