,country,Population,page,rev_id
0,Abkhazia,0,Raul Eshba,789039267.0
1,Abkhazia,0,Zakan Jugelia,786203824.0
2,Abkhazia,0,Zhiuli Shartava,802029007.0
3,Abkhazia,0,Zaur Ardzinba,704938340.0
4,Abkhazia,0,Garri Aiba,799618550.0
5,Abkhazia,0,Samson Chanba,789818730.0
6,Abkhazia,0,Shota Shamatava,723736482.0
7,Abkhazia,0,Nestor Lakoba,805967589.0
8,Abkhazia,0,Guram Gabiskiria,805775169.0
9,Abkhazia,0,Zaur Avidzba,694519009.0
10,Abkhazia,0,Yuri Voronov,803018106.0
11,Abkhazia,0,Efrem Eshba,798644673.0
12,Abkhazia,0,Gennadi Berulava,805063877.0
13,Abkhazia,0,Sumbat Saakian,755193428.0
14,Abkhazia,0,Zurab Achba,721094337.0
15,Abkhazia,0,Bagrat Shinkuba,789818648.0
5939,Brunei,0.4,0,0.0
7498,Cape Colony,0,Thomas Francis Wade,807401513.0
7499,Cape Colony,0,Benjamin D'Urban,797735815.0
7500,Cape Colony,0,Charles Lennox Stretch,786803200.0
7501,Cape Colony,0,Jacobus Wilhelmus Sauer,786142993.0
7502,Cape Colony,0,Henry Barkly,796646347.0
7503,Cape Colony,0,"Sir David Baird, 1st Baronet",804362436.0
7504,Cape Colony,0,Francis Dundas,803908887.0
7505,Cape Colony,0,James Tennant Molteno,801935094.0
7506,Cape Colony,0,William Downes Griffith,731908828.0
7507,Cape Colony,0,Henry Pottinger,787552653.0
7508,Cape Colony,0,Patrick Goold,670210734.0
7509,Cape Colony,0,Henry Hugh Clifford,801856640.0
7510,Cape Colony,0,Charles Henry Darling,800159179.0
7511,Cape Colony,0,"Alfred Milner, 1st Viscount Milner",805962015.0
7512,Cape Colony,0,"Sir Harry Smith, 1st Baronet",799472552.0
7513,Cape Colony,0,John Bardwell Ebden,776725178.0
7514,Cape Colony,0,John Tengo Jabavu,786916027.0
7515,Cape Colony,0,Augustus Joseph Tancred,651250302.0
7516,Cape Colony,0,William Howley Goodenough,794193433.0
7517,Cape Colony,0,Andries Stockenström (judge),789120101.0
7518,Cape Colony,0,Andries Botha,676828191.0
7519,Cape Colony,0,John Thomas Eustace,746923352.0
7520,Cape Colony,0,Jan Hendrik Hofmeyr (Onze Jan),779046359.0
7521,Cape Colony,0,John Charles Molteno,797978795.0
7522,Cape Colony,0,Charles William Hutton,680205631.0
7523,Cape Colony,0,Nicolaas Frederic de Waal,805157563.0
7524,Cape Colony,0,Thomas Upington,788717893.0
7525,Cape Colony,0,Lowry Cole,804277547.0
7526,Cape Colony,0,Johan Conrad Silberbauer,653467222.0
7527,Cape Colony,0,James Cotterell Hoole,666596918.0
7528,Cape Colony,0,Philip John Stigant,786972727.0
7529,Cape Colony,0,William Schreiner,771024710.0
7530,Cape Colony,0,Philip Edmond Wodehouse,792178662.0
7531,Cape Colony,0,Henry White (Cape Treasurer General),785566972.0
7532,Cape Colony,0,Lord Charles Somerset,797029963.0
7533,Cape Colony,0,Andries Stockenström,799373837.0
7534,Cape Colony,0,Henry Juta,765333482.0
7535,Cape Colony,0,Henry Bartle Frere,803288472.0
7536,Cape Colony,0,Frederick Schermbrucker,784765242.0
7537,Cape Colony,0,"Sir George Yonge, 5th Baronet",795625420.0
7538,Cape Colony,0,John Sweet Distin,737348283.0
7539,Cape Colony,0,"Hercules Robinson, 1st Baron Rosmead",803303116.0
7540,Cape Colony,0,John Paterson (Cape politician),800767317.0
7541,Cape Colony,0,William Hume (Cape politician),724976433.0
7542,Cape Colony,0,David Tennant (politician),798742813.0
7543,Cape Colony,0,Charles Brownlee,783250295.0
7544,Cape Colony,0,Charles Aken Fairbridge,793643575.0
7545,Cape Colony,0,Saul Solomon,788361321.0
7546,Cape Colony,0,George Cathcart,784693349.0
7547,Cape Colony,0,Walter Hely-Hutchinson,784862369.0
7548,Cape Colony,0,Christoffel Brand,796352977.0
7549,Cape Colony,0,Charles Abercrombie Smith,783249147.0
7550,Cape Colony,0,James Rose Innes,804497413.0
7551,Cape Colony,0,Leander Starr Jameson,803177433.0
7552,Cape Colony,0,Gordon Sprigg,806340214.0
7553,Cape Colony,0,Thomas Charles Scanlen,788098639.0
7554,Cape Colony,0,William Porter (Attorney General),798383131.0
7555,Cape Colony,0,George Strahan,775481498.0
7556,Cape Colony,0,Christian Groepe,723563811.0
7557,Cape Colony,0,"John Charles Molteno, Jr.",805678535.0
7558,Cape Colony,0,Henry Latham Currey,757832561.0
7559,Cape Colony,0,William Butler (British Army officer),794705198.0
7560,Cape Colony,0,James Sivewright,731817397.0
7561,Cape Colony,0,George Thomas Napier,794346758.0
7562,Cape Colony,0,Jeremias Ziervogel,750299694.0
7563,Cape Colony,0,Klaas Afrikaner,718462130.0
7564,Cape Colony,0,John Blades Currey,693624260.0
7565,Cape Colony,0,George Grey,807290539.0
7566,Cape Colony,0,Peregrine Maitland,807330872.0
7567,Cape Colony,0,James Bisset (mayor),647367482.0
7568,Cape Colony,0,"John de Villiers, 1st Baron de Villiers",789675927.0
7569,Cape Colony,0,"Henry Loch, 1st Baron Loch",803618569.0
7570,Cape Colony,0,Joseph Orpen,715016315.0
7571,Cape Colony,0,Cecil Rhodes,806647373.0
7572,Cape Colony,0,Henry Torrens,784726341.0
7573,Cape Colony,0,Richard Solomon (Attorney General),784829553.0
7574,Cape Colony,0,Simeon Jacobs,767856232.0
7575,Cape Colony,0,Mpilo Walter Benson Rubusana,801417570.0
