,country,Population,page,rev_id
16,Afghanistan,36.5,Alhaj Mutalib Baig,722893996.0
17,Afghanistan,36.5,Farkhunda Zahra Naderi,806994231.0
18,Afghanistan,36.5,Said Mohammad Ali Jawid,748594441.0
19,Afghanistan,36.5,Faramarz Tamanna,769061187.0
20,Afghanistan,36.5,Presidency of Hamid Karzai,802697878.0
21,Afghanistan,36.5,List of heads of state of Afghanistan,806607200.0
22,Afghanistan,36.5,Rouh Gul Khairzad,788030456.0
23,Afghanistan,36.5,Ibrahim Malikzada,782271562.0
24,Afghanistan,36.5,Mohammad Ishaq Aloko,770905450.0
25,Afghanistan,36.5,Mohammed Zia Salehi,799023841.0
26,Afghanistan,36.5,Mohammad Shafiq Hamdam,799023086.0
27,Afghanistan,36.5,Mohammed Rafie,776933374.0
28,Afghanistan,36.5,Abdul Qadir (Afghan leader),798059926.0
29,Afghanistan,36.5,Zefnoon Safai,716814855.0
30,Afghanistan,36.5,Gul Ahmmad Yama,806996844.0
31,Afghanistan,36.5,Baz Mohammad Ahmadi,782271549.0
32,Afghanistan,36.5,Mirza Muhammad Ismail,799013122.0
33,Afghanistan,36.5,Habibullah Khan,807390748.0
34,Afghanistan,36.5,Tayyab Agha,763438364.0
35,Afghanistan,36.5,Durrani dynasty,805924089.0
36,Afghanistan,36.5,Mohammad Afzal Khan,797157277.0
37,Afghanistan,36.5,Ghulam Dastagir Azad,749952986.0
38,Afghanistan,36.5,Zalmai Mojadidi,724355183.0
39,Afghanistan,36.5,Hafizullah Shabaz Khail,807426425.0
40,Afghanistan,36.5,Abdul Malik Hamwar,720125764.0
41,Afghanistan,36.5,Aamir Latif,708476182.0
42,Afghanistan,36.5,Mohammed Qalamuddin,671473289.0
43,Afghanistan,36.5,Mohammad Akbar Barakzai,781167880.0
44,Afghanistan,36.5,Sayyed Mohammad Eqbal Munib,782271570.0
45,Afghanistan,36.5,Badar,671455150.0
46,Afghanistan,36.5,Mohammad Bashir Qant Chah Abi,781169029.0
47,Afghanistan,36.5,Wahid Omar,793429853.0
48,Afghanistan,36.5,Mohibullah Samim,780566383.0
49,Afghanistan,36.5,Mohammad Hashim Zare,781002810.0
50,Afghanistan,36.5,Wazir Arsala Khan,795283501.0
51,Afghanistan,36.5,Abdul Karim Mustaghni,795022269.0
52,Afghanistan,36.5,Abdul Wahed Sorabi,764743041.0
53,Afghanistan,36.5,Fawzia Koofi,806916131.0
54,Afghanistan,36.5,Khalid Farooqi,718002836.0
55,Afghanistan,36.5,Abdul Hai Neamati,781990193.0
56,Afghanistan,36.5,Abdul Qadir Nuristani,781990452.0
57,Afghanistan,36.5,Abdul Rahman (Afghan minister),796885432.0
58,Afghanistan,36.5,Musa Hotak,710004254.0
59,Afghanistan,36.5,Hamid Karzai,807045523.0
60,Afghanistan,36.5,Mohammad Hashem Taufiqui,717921766.0
61,Afghanistan,36.5,Mohammad Ghous,765965877.0
62,Afghanistan,36.5,Naqibullah Orya Khail,710066519.0
63,Afghanistan,36.5,Abdul Rahim Hatif,803706243.0
64,Afghanistan,36.5,Mohammad Najibullah,803705974.0
65,Afghanistan,36.5,Mullah Mohammad Hasan,803686558.0
66,Afghanistan,36.5,Abdul Sattar Murad,753124044.0
67,Afghanistan,36.5,Faizullah Kakar,769025347.0
68,Afghanistan,36.5,Husn Banu Ghazanfar,778690357.0
69,Afghanistan,36.5,Muhammad Hashim Esmatullahi,718019701.0
70,Afghanistan,36.5,Abdul Salam Zaeef,805226789.0
71,Afghanistan,36.5,Azizullah Lodin,748841875.0
72,Afghanistan,36.5,Khairullah Anosh,718052714.0
73,Afghanistan,36.5,Abdul Hadi Arghandiwal,739136660.0
74,Afghanistan,36.5,Fazlullah Wahidi,805345658.0
75,Afghanistan,36.5,Hanifa Safi,754262111.0
76,Afghanistan,36.5,Mohammed Zaman,789359940.0
77,Afghanistan,36.5,Soraya Tarzi,801632337.0
78,Afghanistan,36.5,Cheragh Ali Cheragh,767150678.0
79,Afghanistan,36.5,Muhammad Ali Jalali,799046878.0
80,Afghanistan,36.5,Mohammad Shakir Kargar,783321773.0
81,Afghanistan,36.5,Muhammad Arif Sarwari,799046977.0
82,Afghanistan,36.5,Naeem Baloch,791077429.0
83,Afghanistan,36.5,Arsala Rahmani Daulat,789787876.0
84,Afghanistan,36.5,Amanullah Khan,797048177.0
85,Afghanistan,36.5,Ahmad Wali Massoud,766167980.0
86,Afghanistan,36.5,Abdul Rahman Pazhwak,787914131.0
87,Afghanistan,36.5,Abdul Sabur Farid Kohistani,794072920.0
88,Afghanistan,36.5,Abdul Samad Khaksar,787914141.0
89,Afghanistan,36.5,Mohammed Nadir Shah,795274242.0
90,Afghanistan,36.5,Saber Sangar,767427725.0
91,Afghanistan,36.5,Ramazan Bashardost,802320895.0
92,Afghanistan,36.5,Mohammad Asim Asim,780468605.0
93,Afghanistan,36.5,Sayed Anwar Rahmati,797570527.0
94,Afghanistan,36.5,Munshi Abdul Majid,781002628.0
95,Afghanistan,36.5,Babrak Karmal,804299877.0
96,Afghanistan,36.5,Shahla Ata,800128121.0
97,Afghanistan,36.5,Shah Waliullah Adeeb,800127655.0
98,Afghanistan,36.5,Sayed Zafar Hashemi,774179658.0
99,Afghanistan,36.5,Zeenat Karzai,797072546.0
100,Afghanistan,36.5,Ahmed Wali Karzai,797074740.0
101,Afghanistan,36.5,Ayub Khan (Emir of Afghanistan),807356026.0
102,Afghanistan,36.5,Mohammad Tamim Nuristani,780939825.0
103,Afghanistan,36.5,Shah Gul Rezai,802280148.0
104,Afghanistan,36.5,Samoud Khan,785150345.0
105,Afghanistan,36.5,Anarkali Kaur Honaryar,774499188.0
106,Afghanistan,36.5,Qari Ahmadullah,804577359.0
107,Afghanistan,36.5,Abdul Hafiz Mansoor,739695950.0
108,Afghanistan,36.5,Mohammed Hashim Watanwal,780940202.0
109,Afghanistan,36.5,Shafiqa Habibi,759778743.0
110,Afghanistan,36.5,Shakila (Kabul),800129584.0
111,Afghanistan,36.5,Sultan Hamid Sultan,772765313.0
112,Afghanistan,36.5,Ghulam Mohammad Ghobar,761685512.0
113,Afghanistan,36.5,Davood Moradian,759449241.0
114,Afghanistan,36.5,Massouda Jalal,759405630.0
115,Afghanistan,36.5,Burhanuddin Rabbani,797089185.0
116,Afghanistan,36.5,Musahiban,795287565.0
