,count,population,coverage
India,985.0,1371300000.0,7.182965069641945e-07
Indonesia,211.0,265200000.0,7.956259426847662e-07
China,1133.0,1393800000.0,8.12885636389726e-07
Uzbekistan,28.0,32900000.0,8.510638297872341e-07
Ethiopia,101.0,107500000.0,9.395348837209303e-07
"Korea, North",36.0,25600000.0,1.40625e-06
Zambia,25.0,17700000.0,1.4124293785310734e-06
Thailand,112.0,66200000.0,1.6918429003021149e-06
Mozambique,58.0,30500000.0,1.9016393442622951e-06
Bangladesh,321.0,166400000.0,1.9290865384615385e-06
