country,population,page,rev_id,prediction
Abkhazia,0,Raul Eshba,789039267.0,Stub
Abkhazia,0,Zhiuli Shartava,802029007.0,Start
Abkhazia,0,Zaur Avidzba,694519009.0,Start
Abkhazia,0,Zakan Jugelia,786203824.0,Start
Abkhazia,0,Zurab Achba,721094337.0,Stub
Abkhazia,0,Gennadi Berulava,805063877.0,Stub
Abkhazia,0,Efrem Eshba,798644673.0,Stub
Abkhazia,0,Yuri Voronov,803018106.0,Stub
Abkhazia,0,Sumbat Saakian,755193428.0,Stub
Abkhazia,0,Bagrat Shinkuba,789818648.0,Start
Abkhazia,0,Nestor Lakoba,805967589.0,GA
Abkhazia,0,Shota Shamatava,723736482.0,Stub
Abkhazia,0,Guram Gabiskiria,805775169.0,Start
Abkhazia,0,Garri Aiba,799618550.0,Start
Abkhazia,0,Zaur Ardzinba,704938340.0,Start
Abkhazia,0,Samson Chanba,789818730.0,Start
Brunei,0.4,0,0.0,0
Cape Colony,0,Gordon Sprigg,806340214.0,C
Cape Colony,0,George Cathcart,784693349.0,Start
Cape Colony,0,Frederick Schermbrucker,784765242.0,Start
Cape Colony,0,Jeremias Ziervogel,750299694.0,C
Cape Colony,0,Thomas Charles Scanlen,788098639.0,C
Cape Colony,0,Leander Starr Jameson,803177433.0,C
Cape Colony,0,Saul Solomon,788361321.0,C
Cape Colony,0,Charles Abercrombie Smith,783249147.0,C
Cape Colony,0,Christoffel Brand,796352977.0,C
Cape Colony,0,Walter Hely-Hutchinson,784862369.0,Start
Cape Colony,0,Charles Aken Fairbridge,793643575.0,Stub
Cape Colony,0,Charles Brownlee,783250295.0,C
Cape Colony,0,David Tennant (politician),798742813.0,C
Cape Colony,0,William Porter (Attorney General),798383131.0,C
Cape Colony,0,James Rose Innes,804497413.0,FA
Cape Colony,0,Cecil Rhodes,806647373.0,B
Cape Colony,0,Simeon Jacobs,767856232.0,C
Cape Colony,0,Christian Groepe,723563811.0,B
Cape Colony,0,"George Macartney, 1st Earl Macartney",798165649.0,C
Cape Colony,0,"John Charles Molteno, Jr.",805678535.0,C
Cape Colony,0,Henry Torrens,784726341.0,Start
Cape Colony,0,John X. Merriman,801351302.0,C
Cape Colony,0,Robert Wynyard,789258720.0,C
Cape Colony,0,Mpilo Walter Benson Rubusana,801417570.0,C
Cape Colony,0,William Hume (Cape politician),724976433.0,Start
Cape Colony,0,Richard Solomon (Attorney General),784829553.0,Start
Cape Colony,0,James Bisset (mayor),647367482.0,Start
